"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"47","121.17560325150716","54.58848068155308","0.0321044921875","0.040771484375","0.0234375","1560","0.0004279376054090591","24","0.0004279376054090591","0","0.0004279376054090591","0.0004279376054090591","48:0.0017703417358996831;57:0.02210559234394857;46:0.0024914943671861534","48:68;57:68;46:68","48:0.0013876502685093994;57:0.006988956212741121;46:0.002844116215529796","0.0321044921875","Yes"
"48","158.94304331343577","59.66211455833127","0.0030517578125","0.005126953125","0.0009765625","1560","0.000430776074319599","24","0.000430776074319599","0","0.000430776074319599","0.000430776074319599","47:0.0017703417358996831;49:0.002580121024256199","47:68;49:68","47:0.0013876502685093994;49:0.002790866742436532","0.0030517578125","Yes"
"49","130.962977355834","33.388645780029734","0.018310546875","0.02392578125","0.0126953125","1560","0.00034682920416375626","24","0.00034682920416375626","0","0.00034682920416375626","0.00034682920416375626","48:0.002580121024256199;50:0.004597703619127452;38:0.003814304114868494","48:68;50:68;38:68","48:0.002790866742436532;50:0.004755787523329974;38:0.0038485194473551754","0.018310546875","Yes"
"50","232.92039606856767","118.51105415254338","0.004150390625","0.004638671875","0.003662109375","1560","0.0002813049915381161","24","0.0002813049915381161","0","0.0002813049915381161","0.0002813049915381161","49:0.004597703619127452;51:0.002274531400541846","49:68;51:68","49:0.004755787523329974;51:0.002564801062940658","0.004150390625","Yes"
"51","48.92698122877296","54.370115254402386","0.03173828125","0.031494140625","0.031982421875","1560","0.0004039854458877366","24","0.0004039854458877366","0","0.0004039854458877366","0.0004039854458877366","50:0.002274531400541846;52:0.002093550975957481;58:0.003620496174056159","50:68;52:68;58:68","50:0.002564801062940658;52:0.0018964112754445983;58:0.0026521271176451477","0.03173828125","Yes"
"52","130.8027952718681","110.28277966586788","0.00927734375","0.01318359375","0.00537109375","1560","0.00029217724015702986","24","0.00029217724015702986","0","0.00029217724015702986","0.00029217724015702986","51:0.002093550975957481;53:0.00276732804085697","51:68;53:68","51:0.0018964112754445983;53:0.002814837143950394","0.00927734375","Yes"
"53","147.42998624030847","14.439446703641826","0.0439453125","0.05517578125","0.03271484375","1560","0.00041409952339851167","24","0.00041409952339851167","0","0.00041409952339851167","0.00041409952339851167","39:0.0023543055983616668;52:0.00276732804085697;54:0.004190383251047952","39:68;52:68;54:68","39:0.0023319729449718385;52:0.002814837143950394;54:0.0037140417093827482","0.0439453125","Yes"
"54","133.04661618643027","167.12674669061983","0.005126953125","0.008544921875","0.001708984375","1560","0.0007093878800253403","24","0.0007093878800253403","0","0.0007093878800253403","0.0007093878800253403","53:0.004190383251047952;55:0.0033689128935312507","53:68;55:68","53:0.0037140417093827482;55:0.007093930452351238","0.005126953125","Yes"
"55","94.87646580190903","86.36653126650599","0.0579833984375","0.10107421875","0.014892578125","1560","0.0003439170072698168","24","0.0003439170072698168","0","0.0003439170072698168","0.0003439170072698168","59:0.003293702455914177;54:0.0033689128935312507","59:68;54:68","59:0.008162358093390804;54:0.007093930452351238","0.0579833984375","Yes"
"56","193.1839452753539","214.67945806246317","0.0084228515625","0.013427734375","0.00341796875","1560","0.0004187042520420134","24","0.0004187042520420134","0","0.0004187042520420134","0.0004187042520420134","63:0.005325040457219987;43:0.004880734575479606","63:68;43:68","63:0.005245679140073484;43:0.007360401043531556","0.0084228515625","Yes"
"57","140.22086556720436","66.91749582015622","0.0107421875","0.017822265625","0.003662109375","1560","0.0018573806179825816","24","0.0018573806179825816","0","0.0018573806179825816","0.0018573806179825816","47:0.02210559234394857;67:0.026459495386605747","47:68;67:68","47:0.006988956212741121;67:0.008780316695318618","0.0107421875","Yes"
"58","133.48095104690074","132.88295139858937","0.0062255859375","0.009765625","0.002685546875","1560","0.00048597793097507124","24","0.00048597793097507124","0","0.00048597793097507124","0.00048597793097507124","71:0.0027721374562672263;51:0.003620496174056159","71:68;51:68","71:0.002297513055146777;51:0.0026521271176451477","0.0062255859375","Yes"
"59","146.69103170350365","143.09452005021706","0.009033203125","0.011474609375","0.006591796875","1560","0.0005352269356208275","24","0.0005352269356208275","0","0.0005352269356208275","0.0005352269356208275","55:0.003293702455914177;75:0.0028870682008132753","55:68;75:68","55:0.008162358093390804;75:0.002755896506400929","0.009033203125","Yes"
"60","117.56540459205361","60.59079554549721","0.03173828125","0.03515625","0.0283203125","1560","0.00030706797942540184","24","0.00030706797942540184","0","0.00030706797942540184","0.00030706797942540184","61:0.0030962723079131504","61:68","61:0.00495193221866419","0.03173828125","Yes"
"61","119.21025921386546","91.63600274832477","0.041259765625","0.0458984375","0.032470703125","1560","0.00027048013570215657","24","0.00027048013570215657","0","0.00027048013570215657","0.00027048013570215657","76:0.003062550567886957;60:0.0030962723079131504;62:0.004379758890850988","76:68;60:68;62:68","76:0.0020895517660529106;60:0.00495193221866419;62:0.003396906862294158","0.041259765625","Yes"
"62","114.56172925899676","41.250510365631214","0.01806640625","0.018310546875","0.017822265625","1560","0.0004892454079005286","24","0.0004892454079005286","0","0.0004892454079005286","0.0004892454079005286","61:0.004379758890850988;63:0.007712288512211535","61:68;63:68","61:0.003396906862294158;63:0.008197816749299536","0.01806640625","Yes"
"63","115.4763927547603","15.669923777929526","0.03076171875","0.038818359375","0.022705078125","1560","0.000599222734317169","24","0.000599222734317169","0","0.000599222734317169","0.000599222734317169","56:0.005325040457219987;62:0.007712288512211535;64:0.06176238442703458","56:68;62:68;64:68","56:0.005245679140073484;62:0.008197816749299536;64:0.09688848735533956","0.03076171875","Yes"
"64","134.76677006555053","128.80547520587913","0.0047607421875","0.0078125","0.001708984375","1560","0.0004904481484019327","24","0.0004904481484019327","0","0.0004904481484019327","0.0004904481484019327","65:0.0030016802003851595;63:0.06176238442703458","65:68;63:68","65:0.0026390839993503112;63:0.09688848735533956","0.0047607421875","Yes"
"65","165.45589594062952","98.24544069804035","0.08447265625","0.083740234375","0.085205078125","1560","0.00033642914267329935","24","0.00033642914267329935","0","0.00033642914267329935","0.00033642914267329935","64:0.0030016802003851595;66:0.0024958432727523183;77:0.004083552386696054","64:68;66:68;77:68","64:0.0026390839993503112;66:0.0024471528235771034;77:0.00365412976919538","0.08447265625","Yes"
"66","143.75144736802412","15.223288618699145","0.0101318359375","0.01171875","0.008544921875","1560","0.00035961877041113904","24","0.00035961877041113904","0","0.00035961877041113904","0.00035961877041113904","65:0.0024958432727523183;67:0.0027831157917449223","65:68;67:68","65:0.0024471528235771034;67:0.002807490326176998","0.0101318359375","Yes"
"67","147.67341598352465","54.43152672676106","0.050537109375","0.0537109375","0.04736328125","1560","0.00032955982484362097","24","0.00032955982484362097","0","0.00032955982484362097","0.00032955982484362097","68:0.0028424372755546656;57:0.026459495386605747;66:0.0027831157917449223","68:68;57:68;66:68","68:0.0031892981626986394;57:0.008780316695318618;66:0.002807490326176998","0.050537109375","Yes"
"68","73.3907795465226","85.26487069490524","0.009033203125","0.012451171875","0.005615234375","1560","0.000258261342834054","24","0.000258261342834054","0","0.000258261342834054","0.000258261342834054","67:0.0028424372755546656;69:0.0030310404899210053","67:68;69:68","67:0.0031892981626986394;69:0.0034180319859357933","0.009033203125","Yes"
"69","153.0013416715629","78.98478971742406","0.007568359375","0.01123046875","0.00390625","1560","0.0002810250944308073","24","0.0002810250944308073","0","0.0002810250944308073","0.0002810250944308073","78:0.004704524765554052;68:0.0030310404899210053;70:0.0046009869575833195","78:68;68:68;70:68","78:0.00370420195736032;68:0.0034180319859357933;70:0.0025760203750263555","0.007568359375","Yes"
"70","155.60135496326293","99.81164588897917","0.0052490234375","0.00927734375","0.001220703125","1560","0.0005319403815278214","24","0.0005319403815278214","0","0.0005319403815278214","0.0005319403815278214","69:0.0046009869575833195;71:0.003907043540422067","69:68;71:68","69:0.0025760203750263555;71:0.0034036282191143574","0.0052490234375","Yes"
"71","141.74564124415636","122.48405948068189","0.0087890625","0.01416015625","0.00341796875","1560","0.00029364128032683794","24","0.00029364128032683794","0","0.00029364128032683794","0.00029364128032683794","58:0.0027721374562672263;70:0.003907043540422067","72:68;58:68;70:68","72:0.24983720930353362;58:0.002297513055146777;70:0.0034036282191143574","0.0087890625","Yes"
"72","6.69356077038598","99.15649886504495","0.3843994140625","0.767333984375","0.00146484375","1560","","24","","0","","","73:0.18395261146157696","73:68;71:68","73:0.08962503630563634;71:0.24983720930353362","0.3843994140625","Yes"
"73","76.54009204520638","53.90289521333145","0.0152587890625","0.01904296875","0.011474609375","1560","0.00032174879520961247","24","0.00032174879520961247","0","0.00032174879520961247","0.00032174879520961247","72:0.18395261146157696;74:0.002210806921984637;79:0.002727649723457848","72:68;74:68;79:68","72:0.08962503630563634;74:0.002074672914223308;79:0.0026623248107610076","0.0152587890625","Yes"
"74","148.49137187256946","155.58914430905713","0.0067138671875","0.009033203125","0.00439453125","1560","0.00036978859518795157","24","0.00036978859518795157","0","0.00036978859518795157","0.00036978859518795157","73:0.002210806921984637;75:0.0028735038404890667","73:68;75:68","73:0.002074672914223308;75:0.002389467299192788","0.0067138671875","Yes"
"75","106.50689277847194","61.68120679060353","0.0067138671875","0.010986328125","0.00244140625","1560","0.00023821006993135022","24","0.00023821006993135022","0","0.00023821006993135022","0.00023821006993135022","59:0.0028870682008132753;74:0.0028735038404890667","59:68;74:68","59:0.002755896506400929;74:0.002389467299192788","0.0067138671875","Yes"
"76","135.9255597719386","92.47655158733967","0.0343017578125","0.03564453125","0.032958984375","1560","0.0002729515617000869","24","0.0002729515617000869","0","0.0002729515617000869","0.0002729515617000869","81:0.001694462321046003;61:0.003062550567886957","81:68;61:68","81:0.001920187046027172;61:0.0020895517660529106","0.0343017578125","Yes"
"77","53.24534302036202","33.81977403356738","0.0089111328125","0.009521484375","0.00830078125","1560","0.0002694919713423986","24","0.0002694919713423986","0","0.0002694919713423986","0.0002694919713423986","85:0.0025041707937564217;65:0.004083552386696054","85:68;65:68","85:0.0024809891376579574;65:0.00365412976919538","0.0089111328125","Yes"
"78","126.61346507342486","89.99732878940009","0.0150146484375","0.01513671875","0.010986328125","1560","0.0005332292845637252","24","0.0005332292845637252","0","0.0005332292845637252","0.0005332292845637252","69:0.004704524765554052;89:0.005320001296296367","69:68;89:68","69:0.00370420195736032;89:0.005178790167549074","0.0150146484375","Yes"
